timestamp,sensor_type,goal_id,odom_x,odom_y,kf_x,kf_y,meas_x,meas_y,amcl_cov_trace,kf_error,meas_error
8.03,lidar,0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
8.13,lidar,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8.23,lidar,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8.33,lidar,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8.43,lidar,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8.53,lidar,0,0.0008,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0008,0.0008
8.63,lidar,0,0.0018,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0018,0.0018
8.73,lidar,0,0.0031,-0.0,0.0057,-0.0,0.0031,-0.0,0.0,0.0026,0.0
8.83,lidar,0,0.0071,-0.0001,0.0057,-0.0,0.0031,-0.0,0.0,0.0014,0.004
8.93,lidar,0,0.0127,-0.0003,0.0057,-0.0,0.0031,-0.0,0.0,0.007,0.0096
9.03,lidar,0,0.0161,-0.0004,0.0057,-0.0,0.0031,-0.0,0.0,0.0104,0.0129
9.13,lidar,0,0.0199,-0.0006,0.0231,-0.0005,0.0199,-0.0006,0.0,0.0032,0.0
9.23,lidar,0,0.0286,-0.0011,0.0231,-0.0005,0.0199,-0.0006,0.0,0.0056,0.0088
9.33,lidar,0,0.0336,-0.0013,0.0231,-0.0005,0.0199,-0.0006,0.0,0.0106,0.0137
9.43,lidar,0,0.0436,-0.0019,0.0443,-0.0017,0.0386,-0.0016,0.0,0.0008,0.005
9.53,lidar,0,0.0486,-0.0022,0.0443,-0.0017,0.0386,-0.0016,0.0,0.0043,0.01
9.63,lidar,0,0.0535,-0.0025,0.0443,-0.0017,0.0386,-0.0016,0.0,0.0093,0.015
9.73,lidar,0,0.0635,-0.0032,0.0443,-0.0017,0.0386,-0.0016,0.0,0.0193,0.025
9.83,lidar,0,0.0735,-0.004,0.069,-0.0033,0.0685,-0.0036,0.0,0.0046,0.005
9.93,lidar,0,0.0785,-0.0044,0.069,-0.0033,0.0685,-0.0036,0.0,0.0096,0.01
10.03,lidar,0,0.0884,-0.0052,0.069,-0.0033,0.0685,-0.0036,0.0,0.0196,0.02
10.13,lidar,0,0.0934,-0.0056,0.0918,-0.0052,0.0884,-0.0052,0.0,0.0017,0.005
10.23,lidar,0,0.0984,-0.0061,0.0918,-0.0052,0.0884,-0.0052,0.0,0.0067,0.01
10.33,lidar,0,0.1034,-0.0065,0.0918,-0.0052,0.0884,-0.0052,0.0,0.0117,0.015
10.43,lidar,0,0.1084,-0.007,0.0918,-0.0052,0.0884,-0.0052,0.0,0.0167,0.02
10.53,lidar,0,0.1133,-0.0075,0.0918,-0.0052,0.0884,-0.0052,0.0,0.0217,0.025
10.63,lidar,0,0.1183,-0.0079,0.1154,-0.0074,0.1133,-0.0075,0.0,0.003,0.005
10.73,lidar,0,0.1283,-0.0089,0.1154,-0.0074,0.1133,-0.0075,0.0,0.013,0.015
10.83,lidar,0,0.1332,-0.0094,0.1154,-0.0074,0.1133,-0.0075,0.0,0.018,0.02
10.93,lidar,0,0.1432,-0.0104,0.1395,-0.0099,0.1382,-0.0099,0.0,0.0038,0.005
11.03,lidar,0,0.1482,-0.0109,0.1395,-0.0099,0.1382,-0.0099,0.0,0.0088,0.01
11.13,lidar,0,0.1581,-0.012,0.1395,-0.0099,0.1382,-0.0099,0.0,0.0188,0.02
11.23,lidar,0,0.1631,-0.0125,0.1395,-0.0099,0.1382,-0.0099,0.0,0.0238,0.025
11.33,lidar,0,0.1681,-0.013,0.1638,-0.0125,0.1631,-0.0125,0.0,0.0043,0.005
11.43,lidar,0,0.173,-0.0136,0.1638,-0.0125,0.1631,-0.0125,0.0,0.0093,0.01
11.53,lidar,0,0.178,-0.0141,0.1638,-0.0125,0.1631,-0.0125,0.0,0.0143,0.015
11.63,lidar,0,0.1879,-0.0152,0.1638,-0.0125,0.1631,-0.0125,0.0,0.0243,0.025
11.73,lidar,0,0.1929,-0.0157,0.1884,-0.0151,0.1879,-0.0152,0.0,0.0045,0.005
11.83,lidar,0,0.2029,-0.0168,0.1884,-0.0151,0.1879,-0.0152,0.0,0.0145,0.015
11.93,lidar,0,0.2078,-0.0174,0.1884,-0.0151,0.1879,-0.0152,0.0,0.0195,0.02
12.03,lidar,0,0.2178,-0.0185,0.2131,-0.0179,0.2128,-0.0179,0.0,0.0047,0.005
12.13,lidar,0,0.2227,-0.019,0.2131,-0.0179,0.2128,-0.0179,0.0,0.0097,0.01
12.23,lidar,0,0.2277,-0.0195,0.2131,-0.0179,0.2128,-0.0179,0.0,0.0147,0.015
12.33,lidar,0,0.2327,-0.0201,0.2131,-0.0179,0.2128,-0.0179,0.0,0.0197,0.02
12.43,lidar,0,0.2376,-0.0206,0.2131,-0.0179,0.2128,-0.0179,0.0,0.0247,0.025
12.53,lidar,0,0.2476,-0.0217,0.2378,-0.0206,0.2376,-0.0206,0.0,0.0098,0.01
12.63,lidar,0,0.2526,-0.0222,0.2378,-0.0206,0.2376,-0.0206,0.0,0.0148,0.015
12.73,lidar,0,0.2575,-0.0228,0.2378,-0.0206,0.2376,-0.0206,0.0,0.0198,0.02
12.83,lidar,0,0.2675,-0.0238,0.2626,-0.0233,0.2625,-0.0233,0.0,0.0049,0.005
12.93,lidar,0,0.2724,-0.0243,0.2626,-0.0233,0.2625,-0.0233,0.0,0.0099,0.01
13.03,lidar,0,0.2774,-0.0249,0.2626,-0.0233,0.2625,-0.0233,0.018004,0.0149,0.015
13.13,lidar,0,0.2824,-0.0254,0.2626,-0.0233,0.2625,-0.0233,0.018004,0.0199,0.02
13.23,lidar,0,0.2923,-0.0264,0.2874,-0.0259,0.2874,-0.0259,0.018004,0.0049,0.005
13.33,lidar,0,0.2973,-0.0269,0.2874,-0.0259,0.2874,-0.0259,0.018004,0.0099,0.01
13.43,lidar,0,0.3073,-0.0279,0.2874,-0.0259,0.2874,-0.0259,0.018004,0.0199,0.02
13.53,lidar,0,0.3122,-0.0284,0.2874,-0.0259,0.2874,-0.0259,0.018004,0.0249,0.025
13.63,lidar,0,0.3172,-0.0289,0.3123,-0.0284,0.3122,-0.0284,0.018004,0.005,0.005
13.73,lidar,0,0.3272,-0.0298,0.3123,-0.0284,0.3122,-0.0284,0.018004,0.015,0.015
13.83,lidar,0,0.3322,-0.0303,0.3123,-0.0284,0.3122,-0.0284,0.018004,0.02,0.02
13.93,lidar,0,0.3421,-0.0312,0.3371,-0.0308,0.3371,-0.0308,0.018004,0.005,0.005
14.03,lidar,0,0.3471,-0.0317,0.3371,-0.0308,0.3371,-0.0308,0.018004,0.01,0.01
14.13,lidar,0,0.3521,-0.0321,0.3371,-0.0308,0.3371,-0.0308,0.018004,0.015,0.015
14.23,lidar,0,0.362,-0.033,0.3371,-0.0308,0.3371,-0.0308,0.018004,0.025,0.025
14.33,lidar,0,0.367,-0.0335,0.362,-0.0331,0.362,-0.033,0.018004,0.005,0.005
14.43,lidar,0,0.377,-0.0343,0.362,-0.0331,0.362,-0.033,0.018004,0.015,0.015
14.53,lidar,0,0.382,-0.0347,0.362,-0.0331,0.362,-0.033,0.018004,0.02,0.02
14.63,lidar,0,0.3919,-0.0356,0.3869,-0.0352,0.3869,-0.0352,0.018004,0.005,0.005
14.73,lidar,0,0.3969,-0.036,0.3869,-0.0352,0.3869,-0.0352,0.018004,0.01,0.01
14.83,lidar,0,0.4069,-0.0367,0.3869,-0.0352,0.3869,-0.0352,0.018004,0.02,0.02
14.93,lidar,0,0.4119,-0.0371,0.3869,-0.0352,0.3869,-0.0352,0.018004,0.025,0.025
15.03,lidar,0,0.4168,-0.0375,0.4119,-0.0372,0.4119,-0.0371,0.018004,0.005,0.005
15.13,lidar,0,0.4218,-0.0379,0.4119,-0.0372,0.4119,-0.0371,0.018004,0.01,0.01
15.23,lidar,0,0.4318,-0.0386,0.4119,-0.0372,0.4119,-0.0371,0.018004,0.02,0.02
15.33,lidar,0,0.4368,-0.039,0.4119,-0.0372,0.4119,-0.0371,0.018004,0.025,0.025
15.43,lidar,0,0.4418,-0.0393,0.4368,-0.039,0.4368,-0.039,0.018004,0.005,0.005
15.53,lidar,0,0.4518,-0.04,0.4368,-0.039,0.4368,-0.039,0.018004,0.015,0.015
